link,title,channel
https://www.youtube.com/watch?v=s6iLuugERWM,Exploring a Local Market in Buenos Aires! | Easy Spanish 224,Easy Spanish
https://www.youtube.com/watch?v=MNSjfKnX3F4,The uses of PARA and POR in spanish | How to differentiate between them?,Use your Spanish
https://www.youtube.com/watch?v=i_0rAZ0oa60,__ Historias para aprender español y hablar como un nativo #23,Use your Spanish
https://www.youtube.com/watch?v=omGpM2p-2ic,Maluma Anunció Que Será Papá!?,Clevver TeVe
https://www.youtube.com/watch?v=4UKqUtUsT5w,Spanish stories for beginners explained in English #13 - Summer holidays,Use your Spanish
https://www.youtube.com/watch?v=p3-HyM7n1g4,¿Quién llegó a América antes que Colón? - CuriosaMente 247,CuriosaMente
https://www.youtube.com/watch?v=XQe_c4bdD6w,__ Conversaciones para aprender español | Diálogos cotidianos #1 | Nivel Avanzado,Use your Spanish
https://www.youtube.com/watch?v=fVQ0PIF2GFk,What's Your New Year Resolution? | Easy Spanish 222,Easy Spanish
https://www.youtube.com/watch?v=VEcPbfjbAeo,What's the Best Thing About Living Abroad? Ft. Alex Rawlings (Polyglot) | Easy Spanish 220,Easy Spanish
https://www.youtube.com/watch?v=3oCC4NDgYrY,Meditación para principiantes (12 minutos) - CuriosaMente 258,CuriosaMente
https://www.youtube.com/watch?v=mtkryJtFhKs,¿Cuál es tu tipo de personalidad? (¡Con tests!)- CuriosaMente 252,CuriosaMente
https://www.youtube.com/watch?v=s7OfMG7ccPE,¿Qué pasa en tu CEREBRO cuando aprendes IDIOMAS? - CuriosaMente,CuriosaMente
https://www.youtube.com/watch?v=ahGr78N7-dU,Evento de Maluma Cancelado por Policía por NO Seguir Medidas Sanitarias,Clevver TeVe
https://www.youtube.com/watch?v=XB2qoA6pPoc,Maluma Desmiente Rumores de Ser Papá y Lanza Su Quinto Álbum ‘7 Días en Jamaica’!,Clevver TeVe
https://www.youtube.com/watch?v=vlg0jEgql7Q&t=110s,Valle de Bravo: Mexico’s Best Paragliding Spot | Easy Spanish 225,Easy Spanish
https://www.youtube.com/watch?v=fZS8XPTHh58,"Kanye West Demandado por 1,000 Ex-empleados de Sunday Service por $30 Millones!",Clevver TeVe
https://www.youtube.com/watch?v=mtaK8J0rpEg,¡Veganos contra carnívoros! - CuriosaMente 251,CuriosaMente
https://www.youtube.com/watch?v=i9kZ_V6xAlk,Selena Gomez Elimina a Maluma de 'Baila Conmigo’?!,Clevver TeVe
https://www.youtube.com/watch?v=HwSz2MGZUoo,¿Tengo un trastorno mental? - CuriosaMente 246,CuriosaMente
https://www.youtube.com/watch?v=OD7MOS5DZXE,28 Palabras que el español adoptó de otros idiomas (Corregido) - CuriosaMente,CuriosaMente
https://www.youtube.com/watch?v=DgFdq5kT95M,¿Eres de izquierda o de derecha? - CuriosaMente 264,CuriosaMente
https://www.youtube.com/watch?v=90mcwLTJ8sU,¿Cómo derrite un ácido? (con experimento) - CuriosaMente,CuriosaMente
https://www.youtube.com/watch?v=x6Il44dHv_Y,__ Aprende español con conversaciones de la vida diaria | Diálogos cotidianos #3 | Nivel Avanzado,Use your Spanish
https://www.youtube.com/watch?v=UwKFdiDweoQ,Taylor Swift Es Demandada Por Copiar EVERMORE,Clevver TeVe
https://www.youtube.com/watch?v=_pWLml-b3Og,Zendaya sobre sus Noches con Timothée Chalamet Bailando en su Cuarto,Clevver TeVe
https://www.youtube.com/watch?v=wajHIp0Q10s,__ Conversaciones para aprender y mejorar tu español | Diálogos cotidianos #6 | Nivel Avanzado,Use your Spanish
https://www.youtube.com/watch?v=DUSMAP8Vogw,Improve your Spanish with daily life stories and conversations #20 | Learning a new language,Use your Spanish
https://www.youtube.com/watch?v=kb_7DkfaRvA,9 Preguntas curiosas sobre tu CUERPO (cuya respuesta no imaginabas) - CuriosaMente 250,CuriosaMente
